prompt,label
A dog met with a famous artist in a bar. The Amazon is the largest rainforest on Earth.,0
A car noticed a unique species of bird during a walk. Cars can go both slow and fast.,0
A car saw the truth about the universe at the power plant. Cars can go both slow and fast.,0
An artist realized a secret recipe at the local library. The Eiffel Tower is located in Paris.,0
An astronaut spoke to a secret recipe on a deserted island. The Eiffel Tower is located in Paris.,0
A musician discovered a new place during a walk. Mount Everest is the highest mountain in the world.,0
A stranger talked to a famous artist in the city park. The Great Wall of China is visible from space.,0
An astronaut saw a historical figure in the city park. Argentina is located in the southern part of South America.,0
The president talked to a rare animal in an ancient temple. The Amazon is the largest rainforest on Earth.,0
A dog heard a mysterious artifact at the art gallery. A house cat can spend most of its life sleeping.,0
The president noticed a new place in a bar. Cars can go both slow and fast.,0
A stranger realized a secret recipe in the heart of the jungle. The Eiffel Tower is located in Paris.,0
A firefighter spoke to the truth about the universe at a music concert. The Eiffel Tower is located in Paris.,0
The president noticed a mysterious artifact in the middle of the ocean. The Nile is the longest river in the world.,0
A neighbor came across a secret recipe in a bar. The Amazon is the largest rainforest on Earth.,0
A dog found out a hidden talent in a dream. The Nile is the longest river in the world.,0
A firefighter talked to a historical figure in an ancient temple. Fire trucks are red because that's their legal color.,0
A firefighter heard the tallest mountain in the middle of the ocean. The Great Wall of China is visible from space.,0
A musician heard a famous artist at the power plant. The Eiffel Tower is located in Paris.,0
A teacher spoke to a mysterious artifact during a walk. The Amazon is the largest rainforest on Earth.,0
A teacher met with an old friend in a bar. Water boils at 100 degrees Celsius.,0
A stranger noticed the truth about the universe at the local library. The Amazon is the largest rainforest on Earth.,0
A neighbor came across a famous artist on the moon. Mount Everest is the highest mountain in the world.,0
A musician visited a historical figure on a deserted island. Fire trucks are red because that's their legal color.,0
A cat realized a lost city at the power plant. Fire trucks are red because that's their legal color.,0
I noticed the meaning of life in the heart of the jungle. The Nile is the longest river in the world.,0
A car came across a lost city at the power plant. A house cat can spend most of its life sleeping.,0
My friend found out a rare animal at the top of a mountain. Argentina is located in the southern part of South America.,0
A teacher saw the meaning of life in a bar. The Great Wall of China is visible from space.,0
A teacher bumped into an old friend at the local library. The Amazon is the largest rainforest on Earth.,0
The president saw the truth about the universe during a walk. A house cat can spend most of its life sleeping.,0
An astronaut discovered the tallest mountain in the city park. Water boils at 100 degrees Celsius.,0
A car realized the origins of the pyramids at the top of a mountain. Cars can go both slow and fast.,0
A car heard a hidden talent in the heart of the jungle. The Eiffel Tower is located in Paris.,0
A firefighter discovered the truth about the universe in the city park. Argentina is located in the southern part of South America.,0
My friend talked to a lost city on the moon. Mount Everest is the highest mountain in the world.,0
A teacher realized a unique species of bird in the middle of the ocean. A house cat can spend most of its life sleeping.,0
My colleague encountered an old friend in a bar. The Eiffel Tower is located in Paris.,0
My friend talked to a historical figure at the art gallery. The Nile is the longest river in the world.,0
My colleague found out a unique species of bird in the middle of the ocean. The Amazon is the largest rainforest on Earth.,0
A firefighter noticed a historical figure on a deserted island. The Amazon is the largest rainforest on Earth.,0
A neighbor saw the tallest mountain during a walk. The Amazon is the largest rainforest on Earth.,0
The president visited a famous artist on a deserted island. Fire trucks are red because that's their legal color.,0
A musician bumped into the tallest mountain on the moon. The Amazon is the largest rainforest on Earth.,0
The president came across the tallest mountain in the city park. A house cat can spend most of its life sleeping.,0
An artist realized the origins of the pyramids in a bar. The Eiffel Tower is located in Paris.,0
A firefighter discovered the tallest mountain in an ancient temple. The Eiffel Tower is located in Paris.,0
A firefighter talked to a new place in the heart of the jungle. The Eiffel Tower is located in Paris.,0
The president met with a mysterious artifact in a bar. Argentina is located in the southern part of South America.,0
A cat learned the tallest mountain in the middle of the ocean. The Great Wall of China is visible from space.,0
A cat encountered a hidden talent in the city park. The Nile is the longest river in the world.,0
A musician heard a secret recipe in a dream. The Nile is the longest river in the world.,0
A cat found out the origins of the pyramids in the city park. Argentina is located in the southern part of South America.,0
An astronaut saw the tallest mountain during a walk. Argentina is located in the southern part of South America.,0
A car found out the tallest mountain at the art gallery. Fire trucks are red because that's their legal color.,0
A firefighter discovered a secret recipe at the top of a mountain. The Nile is the longest river in the world.,0
My friend learned the origins of the pyramids at a music concert. Cars can go both slow and fast.,0
A musician realized a rare animal on a deserted island. Argentina is located in the southern part of South America.,0
A car found out a rare animal in the city park. The Amazon is the largest rainforest on Earth.,0
A teacher had lunch with a rare animal during a walk. The Nile is the longest river in the world.,0
An artist spoke to the meaning of life at a music concert. Cars can go both slow and fast.,0
I noticed a historical figure in a bar. Fire trucks are red because that's their legal color.,0
My friend learned an old friend at the top of a mountain. The Nile is the longest river in the world.,0
A scientist bumped into a unique species of bird in a dream. Fire trucks are red because that's their legal color.,0
I realized the origins of the pyramids at the power plant. Fire trucks are red because that's their legal color.,0
A neighbor had lunch with the truth about the universe in the middle of the ocean. Water boils at 100 degrees Celsius.,0
My friend saw a secret recipe during a walk. Fire trucks are red because that's their legal color.,0
A neighbor had lunch with a historical figure on a deserted island. A house cat can spend most of its life sleeping.,0
A car spoke to a unique species of bird during a walk. The Eiffel Tower is located in Paris.,0
An astronaut encountered a mysterious artifact in a dream. The Eiffel Tower is located in Paris.,0
An astronaut saw an old friend during a walk. The Eiffel Tower is located in Paris.,0
A stranger encountered a new place in the middle of the ocean. The Eiffel Tower is located in Paris.,0
A musician discovered the tallest mountain during a walk. Argentina is located in the southern part of South America.,0
My colleague talked to a new place during a walk. The Eiffel Tower is located in Paris.,0
I encountered the truth about the universe in the heart of the jungle. Mount Everest is the highest mountain in the world.,0
A dog discovered a mysterious artifact at the art gallery. The Great Wall of China is visible from space.,0
A stranger bumped into a rare animal at the local library. A house cat can spend most of its life sleeping.,0
A firefighter encountered a unique species of bird in a dream. Argentina is located in the southern part of South America.,0
I came across an old friend at a music concert. Cars can go both slow and fast.,0
A car spoke to a mysterious artifact at a music concert. The Amazon is the largest rainforest on Earth.,0
A cat realized a rare animal at the art gallery. Argentina is located in the southern part of South America.,0
A car noticed a new place in an ancient temple. A house cat can spend most of its life sleeping.,0
My colleague encountered an old friend at the power plant. Fire trucks are red because that's their legal color.,0
A teacher met with a hidden talent in a dream. Water boils at 100 degrees Celsius.,0
I visited a mysterious artifact in the middle of the ocean. Argentina is located in the southern part of South America.,0
A dog found out a famous artist in the city park. Fire trucks are red because that's their legal color.,0
My friend noticed a hidden talent at a music concert. The Eiffel Tower is located in Paris.,0
I heard an old friend in the heart of the jungle. Argentina is located in the southern part of South America.,0
A firefighter saw a rare animal in a bar. Argentina is located in the southern part of South America.,0
A dog learned a lost city at the top of a mountain. The Nile is the longest river in the world.,0
A car visited an old friend in the city park. Fire trucks are red because that's their legal color.,0
An astronaut visited the tallest mountain on a deserted island. Argentina is located in the southern part of South America.,0
A scientist encountered a lost city at the art gallery. A house cat can spend most of its life sleeping.,0
A firefighter learned a legendary hero during a walk. A house cat can spend most of its life sleeping.,0
An artist learned a legendary hero at the power plant. Water boils at 100 degrees Celsius.,0
A scientist noticed a rare animal during a walk. The Nile is the longest river in the world.,0
My colleague had lunch with the meaning of life in a dream. A house cat can spend most of its life sleeping.,0
A stranger came across a mysterious artifact in the middle of the ocean. Cars can go both slow and fast.,0
My colleague discovered an old friend on the moon. The Nile is the longest river in the world.,0
An artist saw a famous artist at a music concert. Cars can go both slow and fast.,0
A dog discovered a hidden talent at the local library. The Nile is the longest river in the world.,0
An astronaut came across a secret recipe during a walk. Fire trucks are red because that's their legal color.,0
A neighbor noticed the truth about the universe at the top of a mountain. A house cat can spend most of its life sleeping.,0
A neighbor heard a famous artist on the moon. The Great Wall of China is visible from space.,0
A neighbor found out the origins of the pyramids at a music concert. The Amazon is the largest rainforest on Earth.,0
My friend talked to the tallest mountain at the local library. The Eiffel Tower is located in Paris.,0
An astronaut saw a historical figure at the art gallery. Water boils at 100 degrees Celsius.,0
The president met with a historical figure at the power plant. The Amazon is the largest rainforest on Earth.,0
A dog encountered a hidden talent in the heart of the jungle. A house cat can spend most of its life sleeping.,0
An astronaut saw a historical figure during a walk. The Eiffel Tower is located in Paris.,0
An astronaut talked to a rare animal at the art gallery. Cars can go both slow and fast.,0
The president realized the tallest mountain in the heart of the jungle. Water boils at 100 degrees Celsius.,0
A scientist came across the tallest mountain in the middle of the ocean. Fire trucks are red because that's their legal color.,0
A firefighter heard a new place in the middle of the ocean. Fire trucks are red because that's their legal color.,0
A teacher learned a secret recipe in a bar. The Great Wall of China is visible from space.,0
A car found out a hidden talent on a deserted island. Fire trucks are red because that's their legal color.,0
The president met with a legendary hero at the local library. The Eiffel Tower is located in Paris.,0
My colleague encountered the tallest mountain in a bar. Argentina is located in the southern part of South America.,0
A scientist found out a hidden talent at a music concert. The Eiffel Tower is located in Paris.,0
A stranger came across a rare animal in the heart of the jungle. The Great Wall of China is visible from space.,0
A neighbor discovered the meaning of life in an ancient temple. A house cat can spend most of its life sleeping.,0
The president heard a unique species of bird during a walk. The Nile is the longest river in the world.,0
A firefighter found out the truth about the universe at the top of a mountain. The Eiffel Tower is located in Paris.,0
A car found out the tallest mountain at a music concert. Cars can go both slow and fast.,0
A cat realized a hidden talent at the power plant. Argentina is located in the southern part of South America.,0
A teacher talked to a rare animal in a dream. Cars can go both slow and fast.,0
My friend saw a historical figure in an ancient temple. The Eiffel Tower is located in Paris.,0
A firefighter realized a historical figure during a walk. The Amazon is the largest rainforest on Earth.,0
The president heard a new place in an ancient temple. Fire trucks are red because that's their legal color.,0
The president talked to a hidden talent at a music concert. The Nile is the longest river in the world.,0
An astronaut noticed a famous artist in a dream. The Eiffel Tower is located in Paris.,0
A dog met with a lost city on a deserted island. Fire trucks are red because that's their legal color.,0
A firefighter encountered a new place at the top of a mountain. Fire trucks are red because that's their legal color.,0
A car had lunch with a famous artist on a deserted island. The Eiffel Tower is located in Paris.,0
An artist saw a hidden talent in an ancient temple. Cars can go both slow and fast.,0
A teacher had lunch with a unique species of bird at a music concert. Fire trucks are red because that's their legal color.,0
A car talked to a historical figure in a dream. The Nile is the longest river in the world.,0
The president spoke to an old friend in a dream. Cars can go both slow and fast.,0
My friend noticed a famous artist at the top of a mountain. Mount Everest is the highest mountain in the world.,0
My friend came across the truth about the universe at the power plant. The Amazon is the largest rainforest on Earth.,0
An astronaut visited the truth about the universe at a music concert. Mount Everest is the highest mountain in the world.,0
The president realized a famous artist at a music concert. Water boils at 100 degrees Celsius.,0
My friend saw a hidden talent in the city park. The Eiffel Tower is located in Paris.,0
An artist had lunch with a famous artist in the city park. Fire trucks are red because that's their legal color.,0
A scientist visited a legendary hero in a dream. A house cat can spend most of its life sleeping.,0
My friend bumped into a new place in the middle of the ocean. Mount Everest is the highest mountain in the world.,0
An artist saw the meaning of life at the top of a mountain. Water boils at 100 degrees Celsius.,0
A musician talked to a new place at a music concert. Fire trucks are red because that's their legal color.,0
A scientist found out a rare animal at the local library. The Amazon is the largest rainforest on Earth.,0
An artist encountered a hidden talent at the top of a mountain. Fire trucks are red because that's their legal color.,0
A car saw a unique species of bird at the power plant. Argentina is located in the southern part of South America.,0
A cat spoke to a hidden talent at a music concert. Cars can go both slow and fast.,0
A musician talked to a hidden talent during a walk. A house cat can spend most of its life sleeping.,0
A car talked to a new place during a walk. Water boils at 100 degrees Celsius.,0
A firefighter learned a famous artist at the top of a mountain. Cars can go both slow and fast.,0
I bumped into the truth about the universe at a music concert. The Eiffel Tower is located in Paris.,0
A firefighter encountered a rare animal at the art gallery. The Eiffel Tower is located in Paris.,0
My colleague discovered a historical figure in the middle of the ocean. Mount Everest is the highest mountain in the world.,0
A musician had lunch with a mysterious artifact at the top of a mountain. Cars can go both slow and fast.,0
A scientist learned the tallest mountain in the middle of the ocean. A house cat can spend most of its life sleeping.,0
My friend bumped into a legendary hero at the power plant. Mount Everest is the highest mountain in the world.,0
A neighbor spoke to a new place at the art gallery. The Eiffel Tower is located in Paris.,0
A cat had lunch with the truth about the universe in a dream. Water boils at 100 degrees Celsius.,0
A neighbor heard a new place in the middle of the ocean. A house cat can spend most of its life sleeping.,0
The president visited a unique species of bird in the city park. The Eiffel Tower is located in Paris.,0
My friend spoke to a hidden talent at a music concert. Water boils at 100 degrees Celsius.,0
A dog bumped into a new place in the heart of the jungle. Cars can go both slow and fast.,0
An artist realized a secret recipe on a deserted island. The Eiffel Tower is located in Paris.,0
A musician encountered an old friend in the middle of the ocean. The Eiffel Tower is located in Paris.,0
My colleague realized the origins of the pyramids at the power plant. Cars can go both slow and fast.,0
An astronaut found out a new place at the top of a mountain. Argentina is located in the southern part of South America.,0
A teacher noticed an old friend on a deserted island. The Great Wall of China is visible from space.,0
An astronaut found out a secret recipe at the local library. The Eiffel Tower is located in Paris.,0
My friend bumped into a famous artist in the heart of the jungle. A house cat can spend most of its life sleeping.,0
I visited a rare animal in the middle of the ocean. A house cat can spend most of its life sleeping.,0
A stranger saw the meaning of life in the middle of the ocean. Argentina is located in the southern part of South America.,0
A car realized the tallest mountain in a bar. A house cat can spend most of its life sleeping.,0
The president realized the meaning of life at the art gallery. The Nile is the longest river in the world.,0
A dog learned a new place at a music concert. The Amazon is the largest rainforest on Earth.,0
A neighbor talked to a unique species of bird at the top of a mountain. The Eiffel Tower is located in Paris.,0
My colleague met with a mysterious artifact during a walk. Cars can go both slow and fast.,0
I talked to a legendary hero on a deserted island. The Great Wall of China is visible from space.,0
I heard a unique species of bird in an ancient temple. Cars can go both slow and fast.,0
A cat met with a new place at a music concert. Mount Everest is the highest mountain in the world.,0
A scientist had lunch with a lost city in an ancient temple. The Amazon is the largest rainforest on Earth.,0
The president bumped into a mysterious artifact in a dream. The Eiffel Tower is located in Paris.,0
A cat talked to the tallest mountain in an ancient temple. Fire trucks are red because that's their legal color.,0
A firefighter came across the origins of the pyramids in the city park. Water boils at 100 degrees Celsius.,0
An artist bumped into a unique species of bird during a walk. Cars can go both slow and fast.,0
An astronaut encountered the origins of the pyramids in the heart of the jungle. A house cat can spend most of its life sleeping.,0
A car realized a rare animal at the top of a mountain. A house cat can spend most of its life sleeping.,0
An artist learned the truth about the universe at the power plant. The Eiffel Tower is located in Paris.,0
My colleague learned a unique species of bird on a deserted island. The Amazon is the largest rainforest on Earth.,0
A scientist saw a hidden talent in an ancient temple. The Eiffel Tower is located in Paris.,0
A musician discovered a lost city on a deserted island. Mount Everest is the highest mountain in the world.,0
A firefighter realized the truth about the universe at the local library. Cars can go both slow and fast.,0
A musician realized a famous artist in the city park. Fire trucks are red because that's their legal color.,0
My colleague learned a hidden talent at the power plant. Cars can go both slow and fast.,0
I bumped into a hidden talent in a bar. Cars can go both slow and fast.,0
My colleague learned a famous artist at the top of a mountain. A house cat can spend most of its life sleeping.,0
The president met with the truth about the universe in a dream. Cars can go both slow and fast.,0
I bumped into an old friend in the heart of the jungle. The Eiffel Tower is located in Paris.,0
A musician found out a mysterious artifact in a bar. The Eiffel Tower is located in Paris.,0
I noticed a lost city during a walk. Cars can go both slow and fast.,0
I noticed a legendary hero in a bar. Fire trucks are red because that's their legal color.,0
My friend visited the origins of the pyramids at a music concert. Argentina is located in the southern part of South America.,0
A musician encountered a famous artist in the city park. Cars can go both slow and fast.,0
A firefighter spoke to a legendary hero in the middle of the ocean. Argentina is located in the southern part of South America.,0
A car noticed a unique species of bird at the art gallery. The Great Wall of China is visible from space.,0
My friend bumped into a hidden talent at the top of a mountain. Mount Everest is the highest mountain in the world.,0
A dog heard the truth about the universe at the art gallery. Argentina is located in the southern part of South America.,0
An artist realized a hidden talent at a music concert. Mount Everest is the highest mountain in the world.,0
A dog found out a hidden talent at the top of a mountain. Argentina is located in the southern part of South America.,0
My friend saw the meaning of life at the power plant. The Eiffel Tower is located in Paris.,0
My friend came across a rare animal at the art gallery. Argentina is located in the southern part of South America.,0
My colleague talked to a lost city at the power plant. Fire trucks are red because that's their legal color.,0
A scientist learned a hidden talent in the heart of the jungle. Cars can go both slow and fast.,0
A teacher came across a rare animal in an ancient temple. Argentina is located in the southern part of South America.,0
A car visited a lost city at the local library. The Amazon is the largest rainforest on Earth.,0
A dog saw a mysterious artifact in a dream. The Eiffel Tower is located in Paris.,0
A neighbor bumped into an old friend in a dream. The Eiffel Tower is located in Paris.,0
An artist learned a hidden talent in the heart of the jungle. The Nile is the longest river in the world.,0
An astronaut found out a lost city at the art gallery. Argentina is located in the southern part of South America.,0
A neighbor came across a legendary hero in the middle of the ocean. Cars can go both slow and fast.,0
A dog heard a historical figure in a dream. The Great Wall of China is visible from space.,0
A car found out a famous artist in a bar. The Nile is the longest river in the world.,0
A dog bumped into a legendary hero in the middle of the ocean. The Eiffel Tower is located in Paris.,0
My colleague heard a legendary hero in an ancient temple. The Eiffel Tower is located in Paris.,0
A neighbor noticed a new place in the city park. Argentina is located in the southern part of South America.,0
An artist spoke to the meaning of life on a deserted island. Water boils at 100 degrees Celsius.,0
My colleague met with a mysterious artifact at the power plant. The Nile is the longest river in the world.,0
My friend saw an old friend at the local library. Water boils at 100 degrees Celsius.,0
A musician discovered a unique species of bird on the moon. Mount Everest is the highest mountain in the world.,0
A teacher found out a famous artist at the local library. Cars can go both slow and fast.,0
A firefighter realized a famous artist during a walk. Water boils at 100 degrees Celsius.,0
A car found out a rare animal on the moon. The Great Wall of China is visible from space.,0
A firefighter encountered a secret recipe at a music concert. The Amazon is the largest rainforest on Earth.,0
My friend learned a hidden talent in an ancient temple. The Nile is the longest river in the world.,0
A firefighter learned a secret recipe in the city park. The Great Wall of China is visible from space.,0
I spoke to a historical figure at the art gallery. The Eiffel Tower is located in Paris.,0
A dog encountered a historical figure at the art gallery. The Amazon is the largest rainforest on Earth.,0
A teacher realized the meaning of life in an ancient temple. Water boils at 100 degrees Celsius.,0
A cat heard a unique species of bird in an ancient temple. The Great Wall of China is visible from space.,0
The president had lunch with the meaning of life in the city park. The Amazon is the largest rainforest on Earth.,0
My colleague discovered a unique species of bird in an ancient temple. The Amazon is the largest rainforest on Earth.,0
A teacher visited a new place at the art gallery. The Great Wall of China is visible from space.,0
A stranger learned the origins of the pyramids during a walk. The Eiffel Tower is located in Paris.,0
An astronaut learned a famous artist on the moon. A house cat can spend most of its life sleeping.,0
A car discovered the meaning of life at the art gallery. A house cat can spend most of its life sleeping.,0
A firefighter learned a famous artist in a bar. Water boils at 100 degrees Celsius.,0
A dog learned a unique species of bird at the art gallery. Fire trucks are red because that's their legal color.,0
The president found out a lost city in an ancient temple. A house cat can spend most of its life sleeping.,0
I came across a famous artist at the power plant. The Great Wall of China is visible from space.,0
A car bumped into a unique species of bird at the top of a mountain. A house cat can spend most of its life sleeping.,0
I met with a historical figure at a music concert. Water boils at 100 degrees Celsius.,0
A dog saw a rare animal at the power plant. Cars can go both slow and fast.,0
An artist visited the tallest mountain during a walk. The Amazon is the largest rainforest on Earth.,0
An artist learned a rare animal on the moon. Cars can go both slow and fast.,0
My friend discovered a legendary hero in a dream. The Eiffel Tower is located in Paris.,0
I heard a historical figure at the art gallery. The Nile is the longest river in the world.,0
A teacher had lunch with the tallest mountain in the middle of the ocean. Water boils at 100 degrees Celsius.,0
A scientist bumped into the meaning of life in a bar. The Nile is the longest river in the world.,0
A musician met with a hidden talent on a deserted island. A house cat can spend most of its life sleeping.,0
My colleague met with the meaning of life in a bar. Mount Everest is the highest mountain in the world.,0
A stranger heard the meaning of life at the top of a mountain. The Great Wall of China is visible from space.,0
A musician discovered the truth about the universe in the heart of the jungle. Mount Everest is the highest mountain in the world.,0
An astronaut came across the origins of the pyramids during a walk. Fire trucks are red because that's their legal color.,0
A dog came across a legendary hero at a music concert. Mount Everest is the highest mountain in the world.,0
A neighbor realized a legendary hero on the moon. The Nile is the longest river in the world.,0
An artist noticed the meaning of life in the middle of the ocean. Mount Everest is the highest mountain in the world.,0
My friend met with an old friend on a deserted island. Mount Everest is the highest mountain in the world.,0
A neighbor learned a new place on the moon. Fire trucks are red because that's their legal color.,0
A teacher encountered a famous artist in the heart of the jungle. Mount Everest is the highest mountain in the world.,0
A car saw the truth about the universe in a dream. Water boils at 100 degrees Celsius.,0
A cat came across the origins of the pyramids in the middle of the ocean. The Nile is the longest river in the world.,0
A scientist heard a historical figure at the local library. Argentina is located in the southern part of South America.,0
A scientist bumped into a famous artist in a bar. Fire trucks are red because that's their legal color.,0
A musician spoke to a legendary hero in the city park. The Eiffel Tower is located in Paris.,0
A stranger encountered the origins of the pyramids in an ancient temple. The Great Wall of China is visible from space.,0
I saw a unique species of bird at the art gallery. Water boils at 100 degrees Celsius.,0
A dog had lunch with a hidden talent in a dream. The Amazon is the largest rainforest on Earth.,0
An astronaut visited a famous artist in an ancient temple. The Amazon is the largest rainforest on Earth.,0
My friend talked to a legendary hero during a walk. The Eiffel Tower is located in Paris.,0
A neighbor bumped into a historical figure during a walk. Mount Everest is the highest mountain in the world.,0
A stranger saw a historical figure in a bar. A house cat can spend most of its life sleeping.,0
A neighbor came across a legendary hero in the heart of the jungle. The Eiffel Tower is located in Paris.,0
A firefighter talked to a legendary hero in the middle of the ocean. The Eiffel Tower is located in Paris.,0
A firefighter had lunch with a legendary hero at the local library. Mount Everest is the highest mountain in the world.,0
A dog came across a historical figure in the heart of the jungle. The Eiffel Tower is located in Paris.,0
A car encountered an old friend in the heart of the jungle. Mount Everest is the highest mountain in the world.,0
A car heard a new place on the moon. The Amazon is the largest rainforest on Earth.,0
A musician found out the meaning of life in the middle of the ocean. Fire trucks are red because that's their legal color.,0
An astronaut had lunch with a hidden talent in the heart of the jungle. Mount Everest is the highest mountain in the world.,0
The president bumped into a hidden talent in the middle of the ocean. Argentina is located in the southern part of South America.,0
The president encountered a new place during a walk. A house cat can spend most of its life sleeping.,0
A cat talked to a lost city at the top of a mountain. Argentina is located in the southern part of South America.,0
A teacher had lunch with a unique species of bird in a dream. Water boils at 100 degrees Celsius.,0
A teacher noticed the meaning of life during a walk. Cars can go both slow and fast.,0
A musician found out a unique species of bird at a music concert. The Great Wall of China is visible from space.,0
A scientist noticed the truth about the universe at the art gallery. The Great Wall of China is visible from space.,0
A scientist noticed the tallest mountain in an ancient temple. The Eiffel Tower is located in Paris.,0
A cat saw a hidden talent at the top of a mountain. Water boils at 100 degrees Celsius.,0
An artist visited a famous artist in the city park. Cars can go both slow and fast.,0
A car learned a secret recipe at the local library. Cars can go both slow and fast.,0
I realized a hidden talent in the city park. The Nile is the longest river in the world.,0
An astronaut noticed the tallest mountain at the art gallery. Fire trucks are red because that's their legal color.,0
A firefighter found out a historical figure at the power plant. The Great Wall of China is visible from space.,0
An artist noticed an old friend in the middle of the ocean. The Nile is the longest river in the world.,0
A firefighter spoke to a hidden talent at the local library. Water boils at 100 degrees Celsius.,0
A musician heard a lost city in an ancient temple. Argentina is located in the southern part of South America.,0
The president learned a new place at a music concert. Argentina is located in the southern part of South America.,0
A car saw a new place on the moon. A house cat can spend most of its life sleeping.,0
A car bumped into a rare animal in the middle of the ocean. Water boils at 100 degrees Celsius.,0
A firefighter met with the truth about the universe in a bar. A house cat can spend most of its life sleeping.,0
A car discovered a legendary hero at a music concert. Fire trucks are red because that's their legal color.,0
A firefighter talked to a mysterious artifact during a walk. Water boils at 100 degrees Celsius.,0
A teacher met with the meaning of life on the moon. The Eiffel Tower is located in Paris.,0
A dog bumped into a rare animal at a music concert. The Great Wall of China is visible from space.,0
A car encountered the tallest mountain on a deserted island. The Amazon is the largest rainforest on Earth.,0
My colleague learned a rare animal in a bar. The Great Wall of China is visible from space.,0
A dog learned a hidden talent in a dream. Mount Everest is the highest mountain in the world.,0
The president found out a legendary hero in the middle of the ocean. The Nile is the longest river in the world.,0
The president spoke to a rare animal in the heart of the jungle. The Great Wall of China is visible from space.,0
A cat saw a historical figure on the moon. The Nile is the longest river in the world.,0
A teacher learned a rare animal on a deserted island. The Eiffel Tower is located in Paris.,0
My friend visited a famous artist in the city park. Water boils at 100 degrees Celsius.,0
An astronaut talked to a famous artist at the art gallery. Fire trucks are red because that's their legal color.,0
My colleague noticed the truth about the universe on the moon. Mount Everest is the highest mountain in the world.,0
A stranger had lunch with a unique species of bird on the moon. The Nile is the longest river in the world.,0
A cat found out a secret recipe at the top of a mountain. Fire trucks are red because that's their legal color.,0
A neighbor encountered a lost city in a dream. A house cat can spend most of its life sleeping.,0
The president found out an old friend in an ancient temple. The Amazon is the largest rainforest on Earth.,0
The president discovered a hidden talent on the moon. The Amazon is the largest rainforest on Earth.,0
A dog visited a historical figure at the art gallery. The Amazon is the largest rainforest on Earth.,0
A cat learned the truth about the universe at the top of a mountain. The Great Wall of China is visible from space.,0
A cat realized a lost city in the heart of the jungle. The Nile is the longest river in the world.,0
A teacher noticed an old friend during a walk. A house cat can spend most of its life sleeping.,0
The president spoke to a new place at the top of a mountain. The Eiffel Tower is located in Paris.,0
An astronaut learned a historical figure on a deserted island. Argentina is located in the southern part of South America.,0
My friend saw the tallest mountain in an ancient temple. Argentina is located in the southern part of South America.,0
A neighbor had lunch with a hidden talent on the moon. A house cat can spend most of its life sleeping.,0
A stranger visited a hidden talent during a walk. Argentina is located in the southern part of South America.,0
An astronaut saw a new place at the local library. The Amazon is the largest rainforest on Earth.,0
A teacher visited the tallest mountain in the middle of the ocean. The Nile is the longest river in the world.,0
I had lunch with an old friend on a deserted island. Cars can go both slow and fast.,0
A stranger heard a rare animal in an ancient temple. A house cat can spend most of its life sleeping.,0
An artist heard an old friend on the moon. The Eiffel Tower is located in Paris.,0
A scientist encountered the origins of the pyramids on the moon. A house cat can spend most of its life sleeping.,0
A dog met with a famous artist on the moon. Fire trucks are red because that's their legal color.,0
A firefighter learned a secret recipe at the power plant. A house cat can spend most of its life sleeping.,0
A dog realized the origins of the pyramids on a deserted island. Mount Everest is the highest mountain in the world.,0
I met with a rare animal in an ancient temple. Mount Everest is the highest mountain in the world.,0
My friend bumped into a unique species of bird at the top of a mountain. A house cat can spend most of its life sleeping.,0
I realized the origins of the pyramids in the heart of the jungle. A house cat can spend most of its life sleeping.,0
A cat visited the meaning of life in an ancient temple. The Great Wall of China is visible from space.,0
A scientist learned an old friend at the local library. Argentina is located in the southern part of South America.,0
I came across a hidden talent at the power plant. The Nile is the longest river in the world.,0
An artist discovered a secret recipe in the city park. Argentina is located in the southern part of South America.,0
A neighbor heard the meaning of life in an ancient temple. The Eiffel Tower is located in Paris.,0
A scientist came across a legendary hero in a bar. Fire trucks are red because that's their legal color.,0
The president noticed a new place at the art gallery. A house cat can spend most of its life sleeping.,0
The president heard the truth about the universe in an ancient temple. Mount Everest is the highest mountain in the world.,0
The president found out the origins of the pyramids at the top of a mountain. Argentina is located in the southern part of South America.,0
The president came across a hidden talent at the top of a mountain. The Eiffel Tower is located in Paris.,0
A dog came across the truth about the universe at the local library. The Nile is the longest river in the world.,0
My colleague encountered the origins of the pyramids in a dream. The Amazon is the largest rainforest on Earth.,0
A neighbor came across a historical figure at the top of a mountain. The Great Wall of China is visible from space.,0
I learned the origins of the pyramids in the heart of the jungle. The Great Wall of China is visible from space.,0
A cat bumped into a rare animal in an ancient temple. Argentina is located in the southern part of South America.,0
A musician saw the truth about the universe in the heart of the jungle. Water boils at 100 degrees Celsius.,0
An astronaut visited a unique species of bird in the city park. The Amazon is the largest rainforest on Earth.,0
A dog saw the meaning of life in a dream. The Eiffel Tower is located in Paris.,0
A musician talked to a secret recipe in the heart of the jungle. Mount Everest is the highest mountain in the world.,0
The president realized the truth about the universe at the art gallery. Cars can go both slow and fast.,0
A dog discovered a mysterious artifact in an ancient temple. The Great Wall of China is visible from space.,0
A scientist came across a legendary hero in a bar. Mount Everest is the highest mountain in the world.,0
My colleague learned a famous artist at the power plant. Argentina is located in the southern part of South America.,0
A scientist found out the tallest mountain in a dream. Water boils at 100 degrees Celsius.,0
A stranger came across the truth about the universe in a bar. Water boils at 100 degrees Celsius.,0
An astronaut came across a new place in the city park. The Eiffel Tower is located in Paris.,0
